1,220000
2,183333
3,231000
4,300000
5,220000
6,220000
7,280000
8,180000
9,395000
10,280000
11,231000
12,120000
13,273214
14,100000
15,103448
16,220000
17,233333
18,310000
19,145000
20,310000
21,310000
22,220000
23,231000
24,240000
25,460000
26,280000
27,368000
28,233333
29,2250000
30,300000
31,220000
32,180000
33,220000
34,145000
35,120000
36,120000
37,231000
38,233333
39,360000
40,220000
41,180000
42,350000
43,120833
44,280000
45,2200000
46,400000
47,120000
48,280000
49,280000
50,7607143
51,280000
52,3000000
53,280000
54,2300000
55,188571
56,231000
57,220000
58,280000
59,1666666
60,280000
61,2333333
62,280000
63,120000
64,280000
65,1200000
66,1666666
67,2300000
68,120000
69,425000
70,120000
71,100000
72,360000
73,2083333
74,233333
75,360000
76,280000
77,280000
78,280000
79,220000
80,425000
81,180000
82,183333
83,280000
84,460000
85,2000000
86,2300000
87,250000
88,250000
89,120000
90,145000
91,1100000
92,120000
93,100000
94,190000
95,2250000
96,150000
97,150000
98,250000
99,280000
100,190000
101,1600000
102,180000
103,2333333
104,2100000
105,190000
106,460000
